559,145,344,337,76,361,667,318,433,444,374
586,497,731,757,987,268,774,768,944,439,392
414,252,606,909,310,505,740,550,605,437,521
904,677,275,884,296,56,407,369,863,372,137
658,464,34,778,353,444,193,166,302,147,944
92,55,833,381,953,108,449,983,932,53,547
668,140,316,228,257,673,861,471,200,98,910
861,840,927,60,530,774,551,406,472,573,56
191,877,238,212,154,875,332,809,570,431,801
102,226,185,457,1000,717,326,386,957,80,630
177,416,876,573,535,977,741,316,36,715,502
872,196,906,607,387,150,610,277,139,382,389
649,209,918,78,147,522,935,281,217,884,200
286,186,996,388,277,276,363,640,499,109,764
428,920,976,193,106,66,634,407,448,385,373
643,124,915,387,383,942,495,922,817,684,102
918,153,992,216,377,872,526,697,904,128,894
412,278,84,815,484,622,916,567,542,708,954
